?cosing_ref	?gene_count	?cosing_inci	?cas_list	?function_list
<http://example.org/cosing/ref/56148>	2387	"EPIGALLOCATECHIN GALLATE"	"https://identifiers.org/cas/989-51-5"	"ANTIOXIDANT"
<http://example.org/cosing/ref/37869>	2379	"SODIUM FLUORIDE"	"https://identifiers.org/cas/7681-49-4"	"ORAL CARE,ANTIPLAQUE"
<http://example.org/cosing/ref/80813>	2317	"LEAD ACETATE"	"https://identifiers.org/cas/301-04-2"	"HAIR DYEING"
<http://example.org/cosing/ref/96287>	2233	"CANNABIDIOL - DERIVED FROM EXTRACT OR TINCTURE OR RESIN OF CANNABIS"	"https://identifiers.org/cas/13956-29-1"	"ANTI-SEBUM,SKIN PROTECTING,ANTIOXIDANT,SKIN CONDITIONING"
<http://example.org/cosing/ref/93486>	2233	"CANNABIDIOL - SYNTHETICALLY PRODUCED"	"https://identifiers.org/cas/13956-29-1"	"ANTI-SEBUM,SKIN PROTECTING,ANTIOXIDANT,SKIN CONDITIONING"
<http://example.org/cosing/ref/97367>	2167	"ACROLEIN"	"https://identifiers.org/cas/107-02-8"	"NOT REPORTED"
<http://example.org/cosing/ref/40934>	2039	"PROPIONALDEHYDE"	"https://identifiers.org/cas/123-38-6"	"PERFUMING"
<http://example.org/cosing/ref/95922>	1993	"TRIMELLITIC ANHYDRIDE"	"https://identifiers.org/cas/552-30-7"	"NOT REPORTED"
<http://example.org/cosing/ref/33057>	1985	"COUMARIN"	"https://identifiers.org/cas/91-64-5"	"PERFUMING"
<http://example.org/cosing/ref/59879>	1959	"TRIPHENYL PHOSPHATE"	"https://identifiers.org/cas/115-86-6"	"PLASTICISER"
<http://example.org/cosing/ref/32811>	1933	"CI 77000"	"https://identifiers.org/cas/7429-90-5"	"COLORANT"
<http://example.org/cosing/ref/90064>	1895	"PINENE"	"https://identifiers.org/cas/80-56-8"	"ANTIFOAMING,FRAGRANCE"
<http://example.org/cosing/ref/33198>	1884	"DEXTRAN SULFATE"	"https://identifiers.org/cas/9042-14-2"	"BINDING,SKIN CONDITIONING"
<http://example.org/cosing/ref/34012>	1804	"GLUCOSE"	"https://identifiers.org/cas/50-99-7"	"HUMECTANT"
<http://example.org/cosing/ref/80273>	1762	"TOCOPHEROL"	"https://identifiers.org/cas/1406-18-4|https://identifiers.org/cas/59-02-9|https://identifiers.org/cas/119-13-1"	"ANTIOXIDANT,FRAGRANCE,SKIN CONDITIONING"
<http://example.org/cosing/ref/56300>	1686	"FULLERENES"	"https://identifiers.org/cas/99685-96-8"	"ANTIMICROBIAL,SKIN CONDITIONING"
<http://example.org/cosing/ref/90933>	1621	"DISODIUM SELENITE"	"https://identifiers.org/cas/10102-18-8"	"NOT REPORTED"
<http://example.org/cosing/ref/41276>	1586	"VALERALDEHYDE"	"https://identifiers.org/cas/110-62-3"	"PERFUMING"
<http://example.org/cosing/ref/35214>	1501	"MENADIONE"	"https://identifiers.org/cas/58-27-5"	"FRAGRANCE"
<http://example.org/cosing/ref/75703>	1405	"DIETHYL TOLUAMIDE"	"https://identifiers.org/cas/134-62-3"	"SKIN PROTECTING"
<http://example.org/cosing/ref/59094>	1318	"PERMETHRIN"	"https://identifiers.org/cas/52645-53-1"	"ANTIMICROBIAL"
<http://example.org/cosing/ref/35289>	1261	"METHYL EUGENOL"	"https://identifiers.org/cas/93-15-2"	"FRAGRANCE,PERFUMING"
<http://example.org/cosing/ref/38582>	1209	"THIMEROSAL"	"https://identifiers.org/cas/54-64-8"	"PRESERVATIVE"
<http://example.org/cosing/ref/97359>	1123	"BUTADIENE"	"https://identifiers.org/cas/106-99-0"	"NOT REPORTED"
<http://example.org/cosing/ref/73979>	1016	"ACETYL CYSTEINE"	"https://identifiers.org/cas/616-91-1"	"ANTIOXIDANT,SKIN CONDITIONING"
<http://example.org/cosing/ref/32808>	970	"CI 75300"	"https://identifiers.org/cas/458-37-7"	"COLORANT"
<http://example.org/cosing/ref/55538>	970	"CURCUMIN"	"https://identifiers.org/cas/458-37-7"	"COLORANT,ANTIOXIDANT"
<http://example.org/cosing/ref/38978>	951	"ZINC SULFATE"	"https://identifiers.org/cas/7733-02-0"	"ANTIMICROBIAL,ORAL CARE,ASTRINGENT,ANTIPLAQUE"
<http://example.org/cosing/ref/80281>	940	"TOLUENE"	"https://identifiers.org/cas/108-88-3"	"SOLVENT,ANTIOXIDANT"
<http://example.org/cosing/ref/35341>	923	"METHYLISOTHIAZOLINONE"	"https://identifiers.org/cas/2682-20-4"	"PRESERVATIVE"
<http://example.org/cosing/ref/55622>	895	"CUPRIC CHLORIDE"	"https://identifiers.org/cas/7447-39-4"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/95801>	827	"CIS-RETINOIC ACID"	"https://identifiers.org/cas/4759-48-2"	"ANTI-SEBUM"
<http://example.org/cosing/ref/78834>	823	"SESAMUM INDICUM SEED"	"https://identifiers.org/cas/8008-74-0"	"ABRASIVE"
<http://example.org/cosing/ref/58500>	823	"SESAMUM INDICUM SEED EXTRACT"	"https://identifiers.org/cas/8008-74-0"	"HAIR CONDITIONING,SOOTHING,SKIN CONDITIONING,SMOOTHING"
<http://example.org/cosing/ref/58502>	823	"SESAMUM INDICUM SPROUT EXTRACT"	"https://identifiers.org/cas/8008-74-0"	"HUMECTANT"
<http://example.org/cosing/ref/58501>	823	"SESAMUM INDICUM SEED POWDER"	"https://identifiers.org/cas/8008-74-0"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/84819>	823	"SESAMUM INDICUM SEED BUTTER"	"https://identifiers.org/cas/8008-74-0"	"SKIN CONDITIONING - EMOLLIENT"
<http://example.org/cosing/ref/78835>	823	"SESAMUM INDICUM SEED OIL"	"https://identifiers.org/cas/8008-74-0"	"SKIN CONDITIONING - EMOLLIENT,HAIR CONDITIONING,FRAGRANCE,SKIN CONDITIONING"
<http://example.org/cosing/ref/78833>	823	"SESAMUM INDICUM OIL UNSAPONIFIABLES"	"https://identifiers.org/cas/8008-74-0"	"SKIN CONDITIONING - EMOLLIENT,HAIR CONDITIONING,SKIN CONDITIONING"
<http://example.org/cosing/ref/31734>	811	"BUTYLPARABEN"	"https://identifiers.org/cas/94-26-8"	"PRESERVATIVE,FRAGRANCE"
<http://example.org/cosing/ref/74328>	806	"ASCORBIC ACID"	"https://identifiers.org/cas/50-81-7"	"ANTIOXIDANT,BUFFERING,FRAGRANCE,SKIN CONDITIONING"
<http://example.org/cosing/ref/76687>	801	"HYDROQUINONE"	"https://identifiers.org/cas/123-31-9"	"LIGHT STABILIZER"
<http://example.org/cosing/ref/79487>	801	"SODIUM GLUTAMATE"	"https://identifiers.org/cas/142-47-2"	"HAIR CONDITIONING,FRAGRANCE,SKIN CONDITIONING"
<http://example.org/cosing/ref/84655>	734	"THIRAM"	"https://identifiers.org/cas/137-26-8"	"ANTIMICROBIAL"
<http://example.org/cosing/ref/35342>	728	"METHYLPARABEN"	"https://identifiers.org/cas/99-76-3"	"PRESERVATIVE,FRAGRANCE"
<http://example.org/cosing/ref/75885>	727	"DIMETHYL PHTHALATE"	"https://identifiers.org/cas/131-11-3"	"FILM FORMING,SOLVENT,FRAGRANCE,PLASTICISER"
<http://example.org/cosing/ref/35484>	721	"N-BUTYL ALCOHOL"	"https://identifiers.org/cas/71-36-3"	"DENATURANT,SOLVENT,PERFUMING"
<http://example.org/cosing/ref/83794>	658	"LIDOCAINE"	"https://identifiers.org/cas/137-58-6"	"NOT REPORTED"
<http://example.org/cosing/ref/86394>	626	"SULINDAC"	"https://identifiers.org/cas/38194-50-2"	"ANTIOXIDANT"
<http://example.org/cosing/ref/31696>	603	"BUTOXYETHANOL"	"https://identifiers.org/cas/111-76-2"	"SOLVENT,VISCOSITY CONTROLLING,FRAGRANCE"
<http://example.org/cosing/ref/38955>	590	"ZINC CHLORIDE"	"https://identifiers.org/cas/7646-85-7"	"SOOTHING,ORAL CARE"
<http://example.org/cosing/ref/78421>	586	"PALMITIC ACID"	"https://identifiers.org/cas/57-10-3"	"SKIN CONDITIONING - EMOLLIENT,SURFACTANT - EMULSIFYING"
<http://example.org/cosing/ref/33224>	577	"DIBENZOTHIOPHENE"	"https://identifiers.org/cas/132-65-0"	"ANTIOXIDANT"
<http://example.org/cosing/ref/97249>	574	"CUPRIC OXIDE"	"https://identifiers.org/cas/1317-38-0"	"ANTIMICROBIAL"
<http://example.org/cosing/ref/55929>	566	"DIMETHYLTOLYLAMINE"	"https://identifiers.org/cas/99-97-8"	"NAIL CONDITIONING"
<http://example.org/cosing/ref/32188>	561	"BIOTIN"	"https://identifiers.org/cas/58-85-5"	"ANTI-SEBUM,HAIR CONDITIONING,SKIN CONDITIONING"
<http://example.org/cosing/ref/77009>	560	"PANTOTHENIC ACID"	"https://identifiers.org/cas/79-83-4"	"HAIR CONDITIONING,ANTISTATIC,SKIN CONDITIONING"
<http://example.org/cosing/ref/85255>	554	"IBUPROFEN"	"https://identifiers.org/cas/15687-27-1"	"SKIN CONDITIONING"
