?cosing_ref	?gene_count	?cosing_inci	?cas_list	?function_list
<http://example.org/cosing/ref/57815>	197	"KAEMPFEROL"	"https://identifiers.org/cas/520-18-3"	"SKIN CONDITIONING - EMOLLIENT,ANTIOXIDANT"
<http://example.org/cosing/ref/60073>	194	"TBHQ"	"https://identifiers.org/cas/1948-33-0"	"ANTIOXIDANT,FRAGRANCE,PERFUMING"
<http://example.org/cosing/ref/38477>	191	"TAURINE"	"https://identifiers.org/cas/107-35-7"	"BUFFERING"
<http://example.org/cosing/ref/58786>	191	"PYROGALLOL"	"https://identifiers.org/cas/87-66-1"	"HAIR DYEING"
<http://example.org/cosing/ref/32185>	190	"BHT"	"https://identifiers.org/cas/128-37-0"	"ANTIOXIDANT,FRAGRANCE"
<http://example.org/cosing/ref/58872>	187	"QUARTZ"	"https://identifiers.org/cas/14808-60-7"	"ABRASIVE"
<http://example.org/cosing/ref/32748>	179	"CI 40800"	"https://identifiers.org/cas/7235-40-7"	"COLORANT"
<http://example.org/cosing/ref/32805>	179	"CI 75130"	"https://identifiers.org/cas/7235-40-7"	"COLORANT"
<http://example.org/cosing/ref/32173>	179	"BETA-CAROTENE"	"https://identifiers.org/cas/7235-40-7"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/54461>	178	"ANDROGRAPHOLIDE"	"https://identifiers.org/cas/5508-58-7"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/32015>	174	"ASPARTAME"	"https://identifiers.org/cas/22839-47-0"	"FLAVOURING"
<http://example.org/cosing/ref/58386>	174	"PRASTERONE"	"https://identifiers.org/cas/53-43-0"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/80735>	174	"ZEA MAYS OIL"	"https://identifiers.org/cas/8001-30-7"	"HAIR CONDITIONING,FRAGRANCE,SKIN CONDITIONING,SURFACTANT - EMULSIFYING,PERFUMING"
<http://example.org/cosing/ref/80733>	174	"ZEA MAYS GERM OIL"	"https://identifiers.org/cas/8001-30-7"	"SKIN CONDITIONING - EMOLLIENT,SKIN CONDITIONING"
<http://example.org/cosing/ref/57322>	172	"NARINGIN"	"https://identifiers.org/cas/10236-47-2"	"SKIN PROTECTING"
<http://example.org/cosing/ref/90183>	168	"VINYL CHLORIDE"	"https://identifiers.org/cas/75-01-4"	"NOT REPORTED"
<http://example.org/cosing/ref/55281>	165	"CHRYSIN"	"https://identifiers.org/cas/480-40-0"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/40579>	165	"PENTANEDIONE"	"https://identifiers.org/cas/600-14-6"	"PERFUMING"
<http://example.org/cosing/ref/37564>	164	"RUTIN"	"https://identifiers.org/cas/153-18-4"	"HAIR CONDITIONING,ANTIOXIDANT,SKIN CONDITIONING"
<http://example.org/cosing/ref/57697>	160	"MANGIFERIN"	"https://identifiers.org/cas/4773-96-0"	"SKIN PROTECTING"
<http://example.org/cosing/ref/31529>	159	"4-METHYLBENZYLIDENE CAMPHOR"	"https://identifiers.org/cas/38102-62-4"	"UV ABSORBER,UV FILTER,LIGHT STABILIZER"
<http://example.org/cosing/ref/31572>	158	"ACETIC ACID"	"https://identifiers.org/cas/64-19-7"	"BUFFERING,FRAGRANCE"
<http://example.org/cosing/ref/85681>	155	"T-BUTYL METHYL ETHER"	"https://identifiers.org/cas/1634-04-4"	"SOLVENT"
<http://example.org/cosing/ref/84482>	155	"CHLOROFORM"	"https://identifiers.org/cas/67-66-3"	"SOLVENT"
<http://example.org/cosing/ref/56131>	151	"ELLAGIC ACID"	"https://identifiers.org/cas/476-66-4"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/37706>	150	"SILVER NITRATE"	"https://identifiers.org/cas/7761-88-8"	"HAIR DYEING"
<http://example.org/cosing/ref/34248>	149	"HEPARIN"	"https://identifiers.org/cas/9005-49-6"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/74986>	148	"CHLOROGENIC ACIDS"	"https://identifiers.org/cas/327-97-9"	"SKIN PROTECTING,ANTIOXIDANT,SKIN CONDITIONING"
<http://example.org/cosing/ref/32184>	147	"BHA"	"https://identifiers.org/cas/25013-16-5"	"ANTIOXIDANT,FRAGRANCE"
<http://example.org/cosing/ref/84649>	140	"HEXANE"	"https://identifiers.org/cas/110-54-3"	"SOLVENT,VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/33935>	139	"FERULIC ACID"	"https://identifiers.org/cas/1135-24-6"	"ANTIMICROBIAL,ANTIOXIDANT"
<http://example.org/cosing/ref/35499>	139	"NIACINAMIDE"	"https://identifiers.org/cas/98-92-0"	"SMOOTHING"
<http://example.org/cosing/ref/96639>	138	"CYMBOPOGON CITRATUS LEAF/STEM OIL"	"https://identifiers.org/cas/8007-02-1"	"FLAVOURING,FRAGRANCE,SKIN CONDITIONING"
<http://example.org/cosing/ref/75419>	138	"CYMBOPOGON SCHOENANTHUS OIL"	"https://identifiers.org/cas/8007-02-1"	"FRAGRANCE,TONIC"
<http://example.org/cosing/ref/83515>	136	"PUERARIN"	"https://identifiers.org/cas/3681-99-0"	"ANTIOXIDANT"
<http://example.org/cosing/ref/95939>	135	"ISOPROPYLIDENEDIPHENOL DIGLYCIDYL ETHER"	"https://identifiers.org/cas/1675-54-3"	"NOT REPORTED"
<http://example.org/cosing/ref/87102>	135	"SPIRONOLACTONE"	"https://identifiers.org/cas/52-01-7"	"NOT REPORTED"
<http://example.org/cosing/ref/76399>	134	"HEXANAL"	"https://identifiers.org/cas/66-25-1"	"FRAGRANCE"
<http://example.org/cosing/ref/55168>	130	"CAFFEIC ACID"	"https://identifiers.org/cas/331-39-5"	"ANTIOXIDANT,FRAGRANCE"
<http://example.org/cosing/ref/87049>	130	"PLATYCODIN D"	"https://identifiers.org/cas/58479-68-8"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/38843>	129	"URIC ACID"	"https://identifiers.org/cas/69-93-2"	"BUFFERING,SKIN CONDITIONING"
<http://example.org/cosing/ref/95247>	128	"NIFEDIPINE"	"https://identifiers.org/cas/21829-25-4"	"ANTIOXIDANT"
<http://example.org/cosing/ref/86428>	127	"FUCOXANTHIN"	"https://identifiers.org/cas/3351-86-8"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/54413>	127	"ADENINE"	"https://identifiers.org/cas/73-24-5"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/39830>	126	"ETHYLBENZENE"	"https://identifiers.org/cas/100-41-4"	"PERFUMING"
<http://example.org/cosing/ref/35016>	125	"LINALOOL"	"https://identifiers.org/cas/78-70-6"	"DEODORANT,PERFUMING"
<http://example.org/cosing/ref/39519>	124	"DIALLYL SULPHIDE"	"https://identifiers.org/cas/592-88-1"	"PERFUMING"
<http://example.org/cosing/ref/32345>	123	"CALCIUM SILICATE"	"https://identifiers.org/cas/1344-95-2"	"PEARLESCENT,ABSORBENT,BULKING,OPACIFYING,VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/54627>	122	"ASTAXANTHIN"	"https://identifiers.org/cas/472-61-7"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/89810>	122	"FISETIN"	"https://identifiers.org/cas/528-48-3"	"COLORANT,SKIN CONDITIONING"
<http://example.org/cosing/ref/83025>	120	"SILYBIN"	"https://identifiers.org/cas/22888-70-6"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/84565>	117	"ERGOCALCIFEROL"	"https://identifiers.org/cas/1406-16-2"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/82882>	117	"NAPROXEN"	"https://identifiers.org/cas/22204-53-1"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/57708>	117	"OLEANOLIC ACID"	"https://identifiers.org/cas/508-02-1"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/31828>	117	"AMINOBUTYRIC ACID"	"https://identifiers.org/cas/56-12-2"	"HAIR CONDITIONING"
<http://example.org/cosing/ref/39518>	115	"DIALLYLDISULPHIDE"	"https://identifiers.org/cas/2179-57-9"	"PERFUMING"
<http://example.org/cosing/ref/33921>	114	"FARNESOL"	"https://identifiers.org/cas/4602-84-0"	"DEODORANT,PERFUMING"
<http://example.org/cosing/ref/34321>	114	"HYDROCHLORIC ACID"	"https://identifiers.org/cas/7647-01-0"	"BUFFERING"
<http://example.org/cosing/ref/56082>	113	"DITHIOTHREITOL"	"https://identifiers.org/cas/3483-12-3"	"REDUCING,HAIR WAVING OR STRAIGHTENING"
<http://example.org/cosing/ref/85258>	113	"MYRICETIN"	"https://identifiers.org/cas/529-44-2"	"ANTIOXIDANT,SKIN CONDITIONING"
<http://example.org/cosing/ref/35167>	113	"MANNITOL"	"https://identifiers.org/cas/69-65-8"	"BINDING,FRAGRANCE,SKIN CONDITIONING,HUMECTANT,MOISTURISING"
<http://example.org/cosing/ref/31465>	112	"1,2,4-TRIHYDROXYBENZENE"	"https://identifiers.org/cas/533-73-3"	"HAIR DYEING"
<http://example.org/cosing/ref/58785>	110	"PYROCATECHOL"	"https://identifiers.org/cas/120-80-9"	"HAIR DYEING"
<http://example.org/cosing/ref/55330>	107	"CERIUM OXIDE"	"https://identifiers.org/cas/1306-38-3"	"OPACIFYING"
<http://example.org/cosing/ref/37249>	106	"P-PHENYLENEDIAMINE"	"https://identifiers.org/cas/106-50-3"	"HAIR DYEING"
<http://example.org/cosing/ref/92145>	106	"GENISTEIN METHYL ETHER"	"https://identifiers.org/cas/491-80-5"	"SKIN PROTECTING,SKIN CONDITIONING,HUMECTANT"
<http://example.org/cosing/ref/96153>	103	"GEMFIBROZIL"	"https://identifiers.org/cas/25812-30-0"	"NOT REPORTED"
<http://example.org/cosing/ref/37480>	101	"RETINYL ACETATE"	"https://identifiers.org/cas/127-47-9"	"SKIN CONDITIONING - MISCELLANEOUS,SKIN CONDITIONING"
<http://example.org/cosing/ref/33091>	101	"CYANOCOBALAMIN"	"https://identifiers.org/cas/68-19-9"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/31637>	100	"ACID YELLOW 23"	"https://identifiers.org/cas/1934-21-0"	"HAIR DYEING"
<http://example.org/cosing/ref/32737>	100	"CI 19140"	"https://identifiers.org/cas/1934-21-0"	"HAIR DYEING,COLORANT"
<http://example.org/cosing/ref/57411>	100	"NICOTINAMIDE ADENINE DINUCLEOTIDE"	"https://identifiers.org/cas/53-84-9"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/96834>	96	"ANILINE"	"https://identifiers.org/cas/62-53-3"	"NOT REPORTED"
<http://example.org/cosing/ref/35872>	95	"P-CRESOL"	"https://identifiers.org/cas/106-44-5"	"ANTIMICROBIAL,PERFUMING"
<http://example.org/cosing/ref/92044>	94	"MELITTIN"	"https://identifiers.org/cas/20449-79-0"	"ANTI-SEBUM"
<http://example.org/cosing/ref/39539>	94	"DIETHYL MALATE"	"https://identifiers.org/cas/7554-12-3"	"PERFUMING"
<http://example.org/cosing/ref/55298>	92	"CHARCOAL POWDER"	"https://identifiers.org/cas/16291-96-6|https://identifiers.org/cas/7440-44-0"	"ABSORBENT,ABRASIVE,OPACIFYING"
<http://example.org/cosing/ref/32912>	92	"CLOTRIMAZOLE"	"https://identifiers.org/cas/23593-75-1"	"ANTI-SEBORRHEIC,ANTIMICROBIAL"
<http://example.org/cosing/ref/56391>	92	"HONOKIOL"	"https://identifiers.org/cas/35354-74-6"	"ANTIOXIDANT,BLEACHING,SKIN CONDITIONING"
<http://example.org/cosing/ref/36432>	92	"PEI-10"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36433>	92	"PEI-1000"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36434>	92	"PEI-1400"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36435>	92	"PEI-14M"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36436>	92	"PEI-15"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36437>	92	"PEI-1500"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36438>	92	"PEI-1750"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36439>	92	"PEI-250"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36440>	92	"PEI-2500"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36441>	92	"PEI-275"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36442>	92	"PEI-30"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36443>	92	"PEI-35"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36444>	92	"PEI-45"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36445>	92	"PEI-7"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/36446>	92	"PEI-700"	"https://identifiers.org/cas/9002-98-6"	"VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/41112>	89	"STYRENE"	"https://identifiers.org/cas/100-42-5"	"SOLVENT"
<http://example.org/cosing/ref/96746>	89	"HYDROXY TETRAMETHYLPIPERIDINE OXIDE"	"https://identifiers.org/cas/2226-96-2"	"ANTIOXIDANT"
<http://example.org/cosing/ref/86948>	89	"OCTATRIENOIC ACID"	"https://identifiers.org/cas/5205-32-3"	"ANTIOXIDANT"
<http://example.org/cosing/ref/98573>	89	"CI 77266"	"https://identifiers.org/cas/7440-44-0"	"COLORANT"
<http://example.org/cosing/ref/32822>	89	"CI 77268:1"	"https://identifiers.org/cas/7440-44-0"	"COLORANT"
<http://example.org/cosing/ref/95647>	89	"CARBON"	"https://identifiers.org/cas/7440-44-0"	"NOT REPORTED"
<http://example.org/cosing/ref/34715>	88	"ISOQUERCITRIN"	"https://identifiers.org/cas/21637-25-2"	"ANTIOXIDANT"
<http://example.org/cosing/ref/34252>	87	"HESPERIDIN"	"https://identifiers.org/cas/520-26-3"	"SKIN CONDITIONING - EMOLLIENT"
<http://example.org/cosing/ref/32318>	86	"CALCIUM CHLORIDE"	"https://identifiers.org/cas/10043-52-4"	"VISCOSITY CONTROLLING,ASTRINGENT"
<http://example.org/cosing/ref/85413>	86	"DIHYDROQUERCETIN"	"https://identifiers.org/cas/480-18-2"	"ANTIOXIDANT"
<http://example.org/cosing/ref/56361>	85	"HESPERETIN"	"https://identifiers.org/cas/520-33-2"	"ANTIOXIDANT,SKIN CONDITIONING"
<http://example.org/cosing/ref/32208>	84	"BORIC ACID"	"https://identifiers.org/cas/11113-50-1"	"ANTIMICROBIAL,DENATURANT,BUFFERING"
<http://example.org/cosing/ref/36517>	84	"PHENACETIN"	"https://identifiers.org/cas/62-44-2"	"LIGHT STABILIZER"
<http://example.org/cosing/ref/36531>	84	"PHENYL METHYL PYRAZOLONE"	"https://identifiers.org/cas/89-25-8"	"HAIR DYEING"
<http://example.org/cosing/ref/34866>	83	"LANTHANUM CHLORIDE"	"https://identifiers.org/cas/10099-58-8"	"ASTRINGENT"
<http://example.org/cosing/ref/97222>	83	"GINSENOSIDE RE"	"https://identifiers.org/cas/52286-59-6"	"ANTIOXIDANT,SKIN CONDITIONING,HUMECTANT"
<http://example.org/cosing/ref/87337>	83	"MAGNESIUM POWDER"	"https://identifiers.org/cas/7439-95-4"	"REDUCING"
<http://example.org/cosing/ref/32823>	82	"CI 77288"	"https://identifiers.org/cas/1308-38-9"	"COLORANT"
<http://example.org/cosing/ref/83802>	82	"XANTHOHUMOL"	"https://identifiers.org/cas/6754-58-1"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/40233>	81	"HEXYL CINNAMAL"	"https://identifiers.org/cas/101-86-0"	"PERFUMING"
<http://example.org/cosing/ref/94798>	81	"GALANGIN"	"https://identifiers.org/cas/548-83-4"	"SKIN PROTECTING"
<http://example.org/cosing/ref/74191>	80	"ALUMINA"	"https://identifiers.org/cas/1344-28-1"	"ABSORBENT,BULKING,ANTICAKING,ABRASIVE,OPACIFYING,VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/38376>	80	"SUCROSE"	"https://identifiers.org/cas/57-50-1"	"SOOTHING,SKIN CONDITIONING,HUMECTANT"
<http://example.org/cosing/ref/85101>	80	"PHOSPHORUS"	"https://identifiers.org/cas/7723-14-0"	"NOT REPORTED"
<http://example.org/cosing/ref/86823>	80	"TRIHYDROXYCHALCONE"	"https://identifiers.org/cas/961-29-5"	"SKIN CONDITIONING - EMOLLIENT"
<http://example.org/cosing/ref/86141>	78	"PHENOLSULFONPHTHALEIN"	"https://identifiers.org/cas/143-74-8"	"BUFFERING"
<http://example.org/cosing/ref/80701>	77	"XYLENE"	"https://identifiers.org/cas/95-47-6|https://identifiers.org/cas/108-38-3"	"SOLVENT,FRAGRANCE,PERFUMING"
<http://example.org/cosing/ref/34156>	75	"GLYCYRRHIZIC ACID"	"https://identifiers.org/cas/1405-86-3"	"SKIN CONDITIONING,HUMECTANT"
<http://example.org/cosing/ref/60248>	75	"TETRANDRINE"	"https://identifiers.org/cas/518-34-3"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/82352>	73	"PHLORETIN"	"https://identifiers.org/cas/60-82-2"	"ANTI-SEBUM,ANTIOXIDANT"
<http://example.org/cosing/ref/38660>	73	"TRICHLOROETHANE"	"https://identifiers.org/cas/71-55-6"	"SOLVENT"
<http://example.org/cosing/ref/34829>	73	"LACTOFLAVIN"	"https://identifiers.org/cas/83-88-5"	"COLORANT"
<http://example.org/cosing/ref/37498>	73	"RIBOFLAVIN"	"https://identifiers.org/cas/83-88-5"	"SKIN CONDITIONING - MISCELLANEOUS,COLORANT"
<http://example.org/cosing/ref/92487>	72	"PROPOLIS WAX"	"https://identifiers.org/cas/9009-62-5"	"SKIN CONDITIONING - EMOLLIENT,SKIN CONDITIONING"
<http://example.org/cosing/ref/38848>	71	"USNIC ACID"	"https://identifiers.org/cas/125-46-2"	"ANTIMICROBIAL"
<http://example.org/cosing/ref/39517>	70	"DIACETYL"	"https://identifiers.org/cas/431-03-8"	"PERFUMING"
<http://example.org/cosing/ref/75422>	69	"CYSTEINE"	"https://identifiers.org/cas/52-90-4"	"HAIR CONDITIONING,ANTISTATIC,REDUCING,HAIR WAVING OR STRAIGHTENING,ANTIOXIDANT,FRAGRANCE"
<http://example.org/cosing/ref/95281>	69	"1,6-HEXAMETHYLENE DIISOCYANATE"	"https://identifiers.org/cas/822-06-0"	"NOT REPORTED"
<http://example.org/cosing/ref/40518>	68	"OCTANAL"	"https://identifiers.org/cas/124-13-0"	"PERFUMING"
<http://example.org/cosing/ref/84631>	67	"TRICRESYL PHOSPHATE"	"https://identifiers.org/cas/1330-78-5"	"PLASTICISER"
<http://example.org/cosing/ref/86444>	67	"POLYDATIN"	"https://identifiers.org/cas/65914-17-2"	"ANTIOXIDANT"
<http://example.org/cosing/ref/56169>	67	"GEROTINE"	"https://identifiers.org/cas/71-44-3"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/34653>	67	"ISOEUGENOL"	"https://identifiers.org/cas/97-54-1"	"FLAVOURING,PERFUMING"
<http://example.org/cosing/ref/41072>	66	"TETRAMETHYLPYRAZINE"	"https://identifiers.org/cas/1124-11-4"	"PERFUMING"
<http://example.org/cosing/ref/56251>	66	"FERRIC AMMONIUM CITRATE"	"https://identifiers.org/cas/1185-57-5"	"HAIR DYEING"
<http://example.org/cosing/ref/31367>	66	"ADENOSINE"	"https://identifiers.org/cas/58-61-7"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/33756>	66	"EDTA"	"https://identifiers.org/cas/60-00-4"	"CHELATING"
<http://example.org/cosing/ref/84566>	65	"ETHOXYETHANOL"	"https://identifiers.org/cas/110-80-5"	"SOLVENT,VISCOSITY CONTROLLING"
<http://example.org/cosing/ref/34040>	65	"GLYCERIN"	"https://identifiers.org/cas/56-81-5"	"HAIR CONDITIONING,DENATURANT,ORAL CARE,SOLVENT,SKIN PROTECTING,VISCOSITY CONTROLLING,SKIN CONDITIONING,HUMECTANT,PERFUMING"
<http://example.org/cosing/ref/40117>	64	"HEPTANAL"	"https://identifiers.org/cas/111-71-7"	"PERFUMING"
<http://example.org/cosing/ref/59989>	64	"URSOLIC ACID"	"https://identifiers.org/cas/77-52-1"	"FRAGRANCE,SKIN CONDITIONING,PERFUMING"
<http://example.org/cosing/ref/36447>	63	"PELARGONIC ACID"	"https://identifiers.org/cas/112-05-0"	"CLEANSING,FRAGRANCE,SURFACTANT - EMULSIFYING,PERFUMING"
<http://example.org/cosing/ref/92483>	63	"XANTHOPHYLLS"	"https://identifiers.org/cas/127-40-2"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/31959>	63	"AQUA"	"https://identifiers.org/cas/7732-18-5"	"SOLVENT"
<http://example.org/cosing/ref/92472>	63	"WATER"	"https://identifiers.org/cas/7732-18-5"	"SOLVENT,SKIN CONDITIONING,ANTIPLAQUE"
<http://example.org/cosing/ref/98384>	61	"ZERUMBONE"	"https://identifiers.org/cas/471-05-6"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/39141>	61	"BUTYLIDENEPHTHALIDE"	"https://identifiers.org/cas/551-08-6"	"PERFUMING"
<http://example.org/cosing/ref/83646>	60	"DIOSGENIN"	"https://identifiers.org/cas/512-04-9"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/93883>	60	"WOGONIN"	"https://identifiers.org/cas/632-85-9"	"BLEACHING"
<http://example.org/cosing/ref/96114>	59	"CROCIN"	"https://identifiers.org/cas/42553-65-1"	"COLORANT,ANTIOXIDANT"
<http://example.org/cosing/ref/86785>	59	"FORMONONETIN"	"https://identifiers.org/cas/485-72-3"	"SKIN PROTECTING,ANTIOXIDANT,SKIN CONDITIONING"
<http://example.org/cosing/ref/82880>	58	"ACETYL CARNITINE"	"https://identifiers.org/cas/14992-62-2"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/88992>	58	"SINAPIC ACID"	"https://identifiers.org/cas/530-59-6"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/38916>	58	"XANTHINE"	"https://identifiers.org/cas/69-89-6"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/38920>	58	"XYLITOL"	"https://identifiers.org/cas/87-99-0"	"SKIN CONDITIONING,HUMECTANT"
<http://example.org/cosing/ref/38597>	58	"THYMOL"	"https://identifiers.org/cas/89-83-8"	"DENATURANT,HAIR DYEING,FRAGRANCE"
<http://example.org/cosing/ref/75563>	58	"DIHYDROXYACETONE"	"https://identifiers.org/cas/96-26-4"	"TANNING,HAIR DYEING,SKIN CONDITIONING - MISCELLANEOUS"
<http://example.org/cosing/ref/85904>	57	"LITHIUM CARBONATE"	"https://identifiers.org/cas/554-13-2"	"HAIR WAVING OR STRAIGHTENING,BUFFERING"
<http://example.org/cosing/ref/31372>	57	"ADEPS SUILLUS"	"https://identifiers.org/cas/61789-99-9"	"SKIN CONDITIONING - EMOLLIENT"
<http://example.org/cosing/ref/95285>	56	"ACRYLONITRILE"	"https://identifiers.org/cas/107-13-1"	"NOT REPORTED"
<http://example.org/cosing/ref/31581>	56	"ACETYL HEXAMETHYL TETRALIN"	"https://identifiers.org/cas/21145-77-7"	"FRAGRANCE"
<http://example.org/cosing/ref/86826>	56	"EQUOL"	"https://identifiers.org/cas/531-95-3"	"HAIR CONDITIONING,ANTIOXIDANT,SKIN CONDITIONING"
<http://example.org/cosing/ref/40906>	55	"NONANAL"	"https://identifiers.org/cas/124-19-6"	"PERFUMING"
<http://example.org/cosing/ref/31532>	55	"4-NITRO-O-PHENYLENEDIAMINE"	"https://identifiers.org/cas/99-56-9"	"HAIR DYEING"
<http://example.org/cosing/ref/85430>	54	"ESCULETIN"	"https://identifiers.org/cas/305-01-1"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/82348>	54	"BETULIN"	"https://identifiers.org/cas/473-98-3"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/85327>	54	"ISORHAMNETIN"	"https://identifiers.org/cas/480-19-3"	"SKIN PROTECTING"
<http://example.org/cosing/ref/79199>	54	"STEVIOSIDE"	"https://identifiers.org/cas/57817-89-7"	"ORAL CARE,FRAGRANCE"
<http://example.org/cosing/ref/38868>	53	"VANILLIN"	"https://identifiers.org/cas/121-33-5"	"FRAGRANCE"
<http://example.org/cosing/ref/86779>	52	"BAICALIN"	"https://identifiers.org/cas/21967-41-9"	"ANTIOXIDANT,SKIN CONDITIONING"
<http://example.org/cosing/ref/34008>	52	"GLUCONIC ACID"	"https://identifiers.org/cas/526-95-4"	"CHELATING,PERFUMING"
<http://example.org/cosing/ref/79070>	52	"STEARIC ACID"	"https://identifiers.org/cas/57-11-4"	"EMULSION STABILISING,CLEANSING,REFATTING,FRAGRANCE,SURFACTANT - CLEANSING,SURFACTANT - EMULSIFYING"
<http://example.org/cosing/ref/38662>	51	"TRICLOCARBAN"	"https://identifiers.org/cas/101-20-2"	"ANTIMICROBIAL,DEODORANT,PRESERVATIVE"
<http://example.org/cosing/ref/38979>	51	"ZINC SULFIDE"	"https://identifiers.org/cas/1314-98-3"	"DEPILATORY"
<http://example.org/cosing/ref/33925>	51	"FERRIC CHLORIDE"	"https://identifiers.org/cas/7705-08-0"	"ASTRINGENT"
<http://example.org/cosing/ref/82321>	51	"CHONDRUS CRISPUS POWDER"	"https://identifiers.org/cas/9000-07-1"	"ABRASIVE"
<http://example.org/cosing/ref/77324>	50	"LINOLENIC ACID"	"https://identifiers.org/cas/463-40-1"	"SKIN CONDITIONING - EMOLLIENT,HAIR CONDITIONING,ANTISTATIC,CLEANSING,SKIN CONDITIONING,SURFACTANT - CLEANSING,PERFUMING"
<http://example.org/cosing/ref/85737>	50	"VERBASCOSIDE"	"https://identifiers.org/cas/61276-17-3"	"SKIN PROTECTING,ANTIOXIDANT,BLEACHING,CHELATING"
<http://example.org/cosing/ref/79286>	50	"SODIUM CHONDROITIN SULFATE"	"https://identifiers.org/cas/9007-28-7"	"HAIR CONDITIONING,ANTISTATIC,SKIN CONDITIONING"
<http://example.org/cosing/ref/39285>	49	"CARVACROL"	"https://identifiers.org/cas/499-75-2"	"PERFUMING"
<http://example.org/cosing/ref/36555>	49	"PHYTIC ACID"	"https://identifiers.org/cas/83-86-3"	"CHELATING"
<http://example.org/cosing/ref/90395>	48	"HYDROXYTYROSOL"	"https://identifiers.org/cas/10597-60-1"	"BLEACHING,SKIN CONDITIONING"
<http://example.org/cosing/ref/35135>	48	"MALEIC ACID"	"https://identifiers.org/cas/110-16-7"	"BUFFERING"
<http://example.org/cosing/ref/35325>	48	"METHYL SALICYLATE"	"https://identifiers.org/cas/119-36-8"	"SOOTHING,DENATURANT,ORAL CARE,FLAVOURING,PERFUMING"
<http://example.org/cosing/ref/95981>	48	"S-ALLYLCYSTEINE"	"https://identifiers.org/cas/21593-77-1"	"BLEACHING"
<http://example.org/cosing/ref/57598>	47	"MAGNOLOL"	"https://identifiers.org/cas/528-43-8"	"ANTIOXIDANT,BLEACHING"
<http://example.org/cosing/ref/91737>	47	"REBAUDIOSIDE A"	"https://identifiers.org/cas/58543-16-1"	"SKIN CONDITIONING"
<http://example.org/cosing/ref/37261>	47	"PROPIONIC ACID"	"https://identifiers.org/cas/79-09-4"	"ANTIMICROBIAL,pH ADJUSTERS,PRESERVATIVE,FRAGRANCE"
<http://example.org/cosing/ref/59127>	46	"RETINAL"	"https://identifiers.org/cas/116-31-4"	"SKIN CONDITIONING"
